centre,abscisse,ordonnee
-1,8.484,-3.445
-1,-5.565,-4.993
-1,-0.9,5.348
0,8.545,-3.937
0,8.625,-1.75
0,9.096,-2.08
0,8.707,-1.392
0,8.664,-4.072
0,7.455,-5.902
0,8.91,-2.551
0,8.387,-3.31
0,9.088,-0.317
0,8.513,-1.995
0,8.067,-5.228
0,8.35,-2.817
0,8.819,-1.487
0,10.0,-0.587
0,8.442,-7.327
0,7.741,-8.426
0,8.382,-6.143
0,8.447,-3.983
0,7.238,-6.153
0,8.284,-4.977
0,7.535,-4.054
0,8.164,-4.671
0,9.98,-3.448
0,7.512,-3.192
0,7.654,-2.637
0,8.064,-1.845
0,7.961,-3.342
0,8.216,-4.093
0,8.425,-3.803
0,8.401,-1.899
0,8.281,-1.764
0,7.804,-4.267
0,8.45,-6.154
0,8.316,-7.26
0,8.513,-1.995
0,9.037,-2.788
0,8.388,-4.862
0,8.513,-1.995
0,9.342,-0.729
0,8.29,-3.526
0,8.776,-3.827
0,8.988,1.467
0,9.388,-1.431
0,7.789,-3.784
0,7.26,-4.782
0,8.625,-1.579
0,8.149,-4.87
0,8.962,-1.803
0,8.164,-5.012
0,8.596,-3.019
1,-6.59,-5.255
1,-3.572,-2.334
1,-6.814,-5.808
1,-5.073,-3.77
1,-6.097,-4.617
1,-8.922,-6.468
1,-7.666,-5.511
1,-6.016,-3.111
1,-7.627,-8.194
1,-4.235,-5.649
1,-4.618,-3.511
1,-5.596,-5.401
1,-3.385,-1.522
1,-4.035,-2.915
1,-4.893,-5.45
1,-5.013,-4.614
1,-9.166,-9.479
1,-10.0,-5.191
1,-3.259,-0.888
1,-6.305,-6.29
1,-2.988,-2.419
1,-9.199,-5.876
1,-3.496,-3.49
1,-5.894,-6.117
1,-6.806,-6.529
1,-3.145,-3.685
1,-3.234,-4.111
1,-5.485,-3.773
1,-6.193,-5.855
1,-7.42,-5.543
1,-8.47,-10.0
1,-5.582,-3.819
1,-3.645,-3.583
1,-4.558,-2.101
1,-8.055,-7.077
1,-5.543,-5.801
1,-4.893,-4.749
1,-2.905,-3.955
1,-5.438,-6.028
1,-5.999,-5.613
1,-4.938,-6.3
1,-3.572,-2.334
1,-6.672,-5.954
1,-6.283,-6.301
1,-4.998,-5.457
1,-3.871,-2.773
1,-4.512,-4.887
1,-4.885,-5.66
1,-3.503,-3.558
2,-2.869,2.001
2,-1.92,3.132
2,-3.356,2.643
2,0.102,8.029
2,-2.34,4.381
2,-1.137,6.142
2,-2.361,3.072
2,2.621,8.691
2,-2.22,3.905
2,0.619,7.167
2,1.97,10.0
2,-0.785,4.735
2,-0.115,7.437
2,-2.064,5.001
2,1.068,5.465
2,-1.905,2.82
2,-1.189,5.564
2,-0.038,6.174
2,-1.954,7.076
2,0.477,7.142
2,-2.422,4.256
2,-0.367,4.976
2,-2.91,6.047
2,-1.892,5.443
2,-1.331,4.157
2,-1.831,3.388
2,-2.998,3.898
2,-3.611,3.395
2,-1.6,5.05
2,1.427,6.38
2,0.783,7.649
2,1.112,7.635
2,0.231,5.962
2,-3.134,6.068
2,-0.995,5.997
2,-1.584,3.249
2,-2.698,2.955
2,-1.602,6.54
2,-0.068,5.415
2,0.147,7.327
2,-0.66,7.262
2,-1.809,4.589
2,-0.024,6.373
2,2.501,8.826
2,-0.368,6.529
2,-0.299,5.305
2,-0.419,5.61
2,-1.136,4.589
2,3.048,7.681
2,-0.21,5.901
2,-1.158,0.045
