Ref_Date,GEO,FINANCE,AGE,FAMILY,CHAR,Value
1999,Canada,Total assets,All ages,All family units,Dollars,4489109
2005,Canada,Total assets,All ages,All family units,Dollars,6395134
2012,Canada,Total assets,All ages,All family units,Dollars,9410656
1999,Canada,Total assets,Under 65 years,All family units,Dollars,3502669
2005,Canada,Total assets,Under 65 years,All family units,Dollars,5037779
2012,Canada,Total assets,Under 65 years,All family units,Dollars,7150266
1999,Canada,Total assets,Under 35 years,All family units,Dollars,465450
2005,Canada,Total assets,Under 35 years,All family units,Dollars,484175
2012,Canada,Total assets,Under 35 years,All family units,Dollars,824270
1999,Canada,Total assets,35 to 44 years,All family units,Dollars,970284
2005,Canada,Total assets,35 to 44 years,All family units,Dollars,1320666
2012,Canada,Total assets,35 to 44 years,All family units,Dollars,1489208
1999,Canada,Total assets,45 to 54 years,All family units,Dollars,1160901
2005,Canada,Total assets,45 to 54 years,All family units,Dollars,1695742
2012,Canada,Total assets,45 to 54 years,All family units,Dollars,2336413
1999,Canada,Total assets,55 to 64 years,All family units,Dollars,906034
2005,Canada,Total assets,55 to 64 years,All family units,Dollars,1537196
2012,Canada,Total assets,55 to 64 years,All family units,Dollars,2500375
1999,Canada,Total assets,65 years and older,All family units,Dollars,986440
2005,Canada,Total assets,65 years and older,All family units,Dollars,1357355
2012,Canada,Total assets,65 years and older,All family units,Dollars,2260390
1999,Canada,Private pension assets,All ages,All family units,Dollars,1309523
2005,Canada,Private pension assets,All ages,All family units,Dollars,1856089
2012,Canada,Private pension assets,All ages,All family units,Dollars,2829705
1999,Canada,Private pension assets,Under 65 years,All family units,Dollars,953512
2005,Canada,Private pension assets,Under 65 years,All family units,Dollars,1375803
2012,Canada,Private pension assets,Under 65 years,All family units,Dollars,2034001
1999,Canada,Private pension assets,Under 35 years,All family units,Dollars,62653
2005,Canada,Private pension assets,Under 35 years,All family units,Dollars,57433
2012,Canada,Private pension assets,Under 35 years,All family units,Dollars,116775
1999,Canada,Private pension assets,35 to 44 years,All family units,Dollars,187994
2005,Canada,Private pension assets,35 to 44 years,All family units,Dollars,219417
2012,Canada,Private pension assets,35 to 44 years,All family units,Dollars,278434
1999,Canada,Private pension assets,45 to 54 years,All family units,Dollars,338246
2005,Canada,Private pension assets,45 to 54 years,All family units,Dollars,490418
2012,Canada,Private pension assets,45 to 54 years,All family units,Dollars,690543
1999,Canada,Private pension assets,55 to 64 years,All family units,Dollars,364619
2005,Canada,Private pension assets,55 to 64 years,All family units,Dollars,608534
2012,Canada,Private pension assets,55 to 64 years,All family units,Dollars,948250
1999,Canada,Private pension assets,65 years and older,All family units,Dollars,356011
2005,Canada,Private pension assets,65 years and older,All family units,Dollars,480286
2012,Canada,Private pension assets,65 years and older,All family units,Dollars,795704
1999,Canada,"Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",All ages,All family units,Dollars,536422
2005,Canada,"Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",All ages,All family units,Dollars,674706
2012,Canada,"Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",All ages,All family units,Dollars,958571
1999,Canada,"Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",Under 65 years,All family units,Dollars,411733
2005,Canada,"Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",Under 65 years,All family units,Dollars,523448
2012,Canada,"Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",Under 65 years,All family units,Dollars,666995
1999,Canada,"Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",Under 35 years,All family units,Dollars,38169
2005,Canada,"Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",Under 35 years,All family units,Dollars,37080
2012,Canada,"Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",Under 35 years,All family units,Dollars,44733
1999,Canada,"Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",35 to 44 years,All family units,Dollars,99429
2005,Canada,"Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",35 to 44 years,All family units,Dollars,102881
2012,Canada,"Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",35 to 44 years,All family units,Dollars,101459
1999,Canada,"Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",45 to 54 years,All family units,Dollars,143954
2005,Canada,"Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",45 to 54 years,All family units,Dollars,192998
2012,Canada,"Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",45 to 54 years,All family units,Dollars,224756
1999,Canada,"Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",55 to 64 years,All family units,Dollars,130182
2005,Canada,"Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",55 to 64 years,All family units,Dollars,190489
2012,Canada,"Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",55 to 64 years,All family units,Dollars,296047
1999,Canada,"Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",65 years and older,All family units,Dollars,124689
2005,Canada,"Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",65 years and older,All family units,Dollars,151258
2012,Canada,"Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",65 years and older,All family units,Dollars,291576
1999,Canada,Employer-sponsored Registered Pension Plans (EPPs),All ages,All family units,Dollars,773101
2005,Canada,Employer-sponsored Registered Pension Plans (EPPs),All ages,All family units,Dollars,1181383
2012,Canada,Employer-sponsored Registered Pension Plans (EPPs),All ages,All family units,Dollars,1871134
1999,Canada,Employer-sponsored Registered Pension Plans (EPPs),Under 65 years,All family units,Dollars,541779
2005,Canada,Employer-sponsored Registered Pension Plans (EPPs),Under 65 years,All family units,Dollars,852356
2012,Canada,Employer-sponsored Registered Pension Plans (EPPs),Under 65 years,All family units,Dollars,1367006
1999,Canada,Employer-sponsored Registered Pension Plans (EPPs),Under 35 years,All family units,Dollars,24484
2005,Canada,Employer-sponsored Registered Pension Plans (EPPs),Under 35 years,All family units,Dollars,20353
2012,Canada,Employer-sponsored Registered Pension Plans (EPPs),Under 35 years,All family units,Dollars,72041
1999,Canada,Employer-sponsored Registered Pension Plans (EPPs),35 to 44 years,All family units,Dollars,88565
2005,Canada,Employer-sponsored Registered Pension Plans (EPPs),35 to 44 years,All family units,Dollars,116536
2012,Canada,Employer-sponsored Registered Pension Plans (EPPs),35 to 44 years,All family units,Dollars,176975
1999,Canada,Employer-sponsored Registered Pension Plans (EPPs),45 to 54 years,All family units,Dollars,194293
2005,Canada,Employer-sponsored Registered Pension Plans (EPPs),45 to 54 years,All family units,Dollars,297421
2012,Canada,Employer-sponsored Registered Pension Plans (EPPs),45 to 54 years,All family units,Dollars,465787
1999,Canada,Employer-sponsored Registered Pension Plans (EPPs),55 to 64 years,All family units,Dollars,234437
2005,Canada,Employer-sponsored Registered Pension Plans (EPPs),55 to 64 years,All family units,Dollars,418045
2012,Canada,Employer-sponsored Registered Pension Plans (EPPs),55 to 64 years,All family units,Dollars,652203
1999,Canada,Employer-sponsored Registered Pension Plans (EPPs),65 years and older,All family units,Dollars,231322
